cve_id,published,cvss_version,base_score,severity,attack_vector,attack_complexity,privileges_required,user_interaction,exploitability,products,n_products
CVE-2026-22523,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-22524,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-23635,2026-03-25,3.1,6.5,MEDIUM,NETWORK,HIGH,NONE,NONE,2.2,accellion:kiteworks,1
CVE-2026-23636,2026-03-25,3.1,5.5,MEDIUM,NETWORK,LOW,HIGH,NONE,1.2,accellion:kiteworks,1
CVE-2026-23806,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-23807,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-23971,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-23972,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-23973,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-23977,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-23979,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-24359,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-24362,2026-03-25,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-24363,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-24364,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-24369,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-24370,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,2.3,,0
CVE-2026-24372,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-24373,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-24376,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-24378,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-24382,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-24391,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-24964,2026-03-25,3.1,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-24968,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-24969,2026-03-25,3.1,7.7,HIGH,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-24970,2026-03-25,3.1,7.7,HIGH,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-24971,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-24972,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-24973,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-24974,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-24975,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-24976,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-24977,2026-03-25,3.1,8.5,HIGH,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-24978,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-24979,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-24980,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-24981,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-24983,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-24987,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-24989,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-24993,2026-03-25,3.1,9.3,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25001,2026-03-25,3.1,8.5,HIGH,NETWORK,HIGH,LOW,NONE,1.8,,0
CVE-2026-25002,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25007,2026-03-25,3.1,8.5,HIGH,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-25009,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25013,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25017,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25018,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25025,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25026,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25029,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25030,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25031,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25032,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25033,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25034,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25035,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25304,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25306,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25309,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25317,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25327,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25328,2026-03-25,3.1,6.8,MEDIUM,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25334,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25339,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25340,2026-03-25,3.1,9.3,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25341,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25342,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25344,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25345,2026-03-25,3.1,9.9,CRITICAL,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-25346,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25347,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25349,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25350,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25351,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25352,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25353,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25354,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25355,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,2.3,,0
CVE-2026-25356,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25357,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25358,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25359,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25360,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25361,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25365,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25366,2026-03-25,3.1,9.9,CRITICAL,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-25371,2026-03-25,3.1,9.3,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25373,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25376,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25377,2026-03-25,3.1,9.3,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25379,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25380,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25381,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25382,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25383,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25390,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25396,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25397,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25398,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25400,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25401,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25406,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25413,2026-03-25,3.1,9.9,CRITICAL,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-25414,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25417,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,2.3,,0
CVE-2026-25429,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25430,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25435,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25437,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25447,2026-03-25,3.1,9.1,CRITICAL,NETWORK,LOW,HIGH,NONE,2.3,,0
CVE-2026-25452,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25454,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25455,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25456,2026-03-25,3.1,7.3,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25457,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25458,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25460,2026-03-25,3.1,6.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-25461,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-25462,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25464,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-25465,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,2.3,,0
CVE-2026-25469,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-25645,2026-03-25,3.1,4.4,MEDIUM,LOCAL,HIGH,LOW,REQUIRED,0.8,python:requests,1
CVE-2026-26233,2026-03-25,3.1,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,mattermost:mattermost_server,1
CVE-2026-27039,2026-03-25,3.1,8.5,HIGH,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-27040,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-27044,2026-03-25,3.1,9.9,CRITICAL,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-27045,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-27046,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-27047,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-27048,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-27049,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-27051,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-27054,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-27071,2026-03-25,3.1,9.1,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-27073,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-27075,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-27076,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-27077,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-27078,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-27079,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-27080,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-27081,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-27082,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-27083,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-27084,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-27087,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-27088,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-27095,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-27656,2026-03-25,3.1,5.7,MEDIUM,NETWORK,HIGH,HIGH,REQUIRED,0.5,mattermost:mattermost_server,1
CVE-2026-27659,2026-03-25,3.1,4.6,MEDIUM,NETWORK,LOW,LOW,REQUIRED,2.1,mattermost:mattermost_server,1
CVE-2026-29092,2026-03-25,3.1,4.9,MEDIUM,NETWORK,LOW,HIGH,NONE,1.2,accellion:kiteworks,1
CVE-2026-2414,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,hypr:hypr,1
CVE-2026-2726,2026-03-25,3.1,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,gitlab:gitlab,1
CVE-2026-2745,2026-03-25,3.1,6.8,MEDIUM,NETWORK,HIGH,LOW,NONE,1.6,gitlab:gitlab,1
CVE-2026-2973,2026-03-25,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,REQUIRED,2.3,gitlab:gitlab,1
CVE-2026-2995,2026-03-25,3.1,7.7,HIGH,NETWORK,HIGH,LOW,REQUIRED,1.3,gitlab:gitlab,1
CVE-2026-31913,2026-03-25,3.1,8.6,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-31914,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,2.3,,0
CVE-2026-31920,2026-03-25,3.1,9.3,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-31921,2026-03-25,3.1,8.2,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32441,2026-03-25,3.1,7.7,HIGH,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-32482,2026-03-25,3.1,9.9,CRITICAL,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-32483,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32484,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32485,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32488,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-32489,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32490,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,2.3,,0
CVE-2026-32491,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,2.3,,0
CVE-2026-32492,2026-03-25,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32493,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32494,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32495,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32496,2026-03-25,3.1,6.8,MEDIUM,NETWORK,LOW,HIGH,NONE,2.3,,0
CVE-2026-32497,2026-03-25,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32498,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32499,2026-03-25,3.1,9.3,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32500,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-32501,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32502,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32503,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-32504,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-32505,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-32506,2026-03-25,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32507,2026-03-25,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32508,2026-03-25,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32509,2026-03-25,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32510,2026-03-25,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32511,2026-03-25,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32512,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32513,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32514,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32515,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32516,2026-03-25,3.1,8.5,HIGH,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-32517,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32518,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32519,2026-03-25,3.1,9.0,CRITICAL,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-32520,2026-03-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32521,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,2.3,,0
CVE-2026-32522,2026-03-25,3.1,8.6,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32523,2026-03-25,3.1,9.9,CRITICAL,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-32524,2026-03-25,3.1,9.1,CRITICAL,NETWORK,LOW,HIGH,NONE,2.3,,0
CVE-2026-32525,2026-03-25,3.1,9.9,CRITICAL,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-32526,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32527,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32528,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32529,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32530,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32531,2026-03-25,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,2.2,,0
CVE-2026-32532,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32533,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32534,2026-03-25,3.1,8.5,HIGH,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-32535,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32536,2026-03-25,3.1,9.9,CRITICAL,NETWORK,LOW,LOW,NONE,3.1,,0
CVE-2026-32537,2026-03-25,3.1,7.5,HIGH,NETWORK,HIGH,LOW,NONE,1.6,,0
CVE-2026-32538,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32539,2026-03-25,3.1,9.3,CRITICAL,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32540,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32541,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32542,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32544,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32545,2026-03-25,3.1,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,,0
CVE-2026-32546,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,,0
CVE-2026-32562,2026-03-25,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,,0
CVE-2026-32567,2026-03-25,3.1,6.8,MEDIUM,NETWORK,LOW,HIGH,NONE,2.3,,0
CVE-2026-32573,2026-03-25,3.1,9.1,CRITICAL,NETWORK,LOW,HIGH,NONE,2.3,,0
CVE-2026-34085,2026-03-25,3.1,5.9,MEDIUM,LOCAL,LOW,NONE,NONE,2.5,fontconfig_project:fontconfig,1
CVE-2026-3857,2026-03-25,3.1,8.1,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,gitlab:gitlab,1
CVE-2026-3988,2026-03-25,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,3.9,gitlab:gitlab,1
CVE-2025-67030,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,2.8,codehaus-plexus:plexus-utils,1
CVE-2026-27496,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,n8n:n8n,1
CVE-2026-30587,2026-03-25,3.1,8.7,HIGH,NETWORK,LOW,LOW,REQUIRED,2.3,seafile:seafile_server,1
CVE-2026-33660,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,n8n:n8n,1
CVE-2026-33663,2026-03-25,3.1,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,2.8,n8n:n8n,1
CVE-2026-33665,2026-03-25,3.1,7.5,HIGH,NETWORK,HIGH,LOW,NONE,1.6,n8n:n8n,1
CVE-2026-33696,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,n8n:n8n,1
CVE-2026-33713,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,n8n:n8n,1
CVE-2025-70887,2026-03-25,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,2.8,ralphje:signify,1
